"";"NbClusters";"NbIsoPts"
"Eps = 5";1450;28434
"Eps = 15";545;3163
"Eps = 40";64;335
"Eps = 75";20;53
"Eps = 100";10;17
"Eps = 200";3;5
"Eps = 400";3;4
