"";"NbClusters";"NbIsoPts"
"MinPts = 1";1101;0
"MinPts = 5";190;1949
"MinPts = 15";210;11797
"MinPts = 40";31;34571
"MinPts = 90";0;37000
"MinPts = 150";0;37000
"MinPts = 350";0;37000
"MinPts = 700";0;37000
"MinPts = 1000";0;37000
"MinPts = 2000";0;37000
